,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Revenue Rating
24,TXN_7764304,Cake,0,0.0,3.0,Credit Card,Takeaway,2023-01-09,Low
25,TXN_8708666,Cake,4,0.0,12.0,Unknown,Takeaway,2023-01-10,High
26,TXN_9493077,Cake,4,3.0,12.0,Credit Card,Unknown,2023-01-10,High
27,TXN_3270584,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-01-10,High
28,TXN_3869958,Cake,1,3.0,3.0,Digital Wallet,Unknown,2023-01-11,Low
29,TXN_8732269,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-01-11,Low
30,TXN_9520855,Cake,4,3.0,12.0,Unknown,Unknown,2023-01-11,High
31,TXN_7585599,Cake,1,3.0,3.0,Credit Card,Unknown,2023-01-12,Low
32,TXN_2503128,Cake,1,3.0,3.0,Cash,In-Store,2023-01-12,Low
33,TXN_4268746,Cake,5,3.0,15.0,Credit Card,In-Store,2023-01-12,High
34,TXN_2598728,Cake,2,3.0,6.0,Credit Card,Unknown,2023-01-13,Low
35,TXN_7735237,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-01-13,Low
36,TXN_2580487,Cake,1,3.0,3.0,Unknown,Takeaway,2023-01-13,Low
37,TXN_1434857,Cake,5,3.0,15.0,Unknown,In-Store,2023-01-13,High
38,TXN_5530273,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-01-13,High
39,TXN_7218134,Cake,5,3.0,0.0,Cash,Unknown,2023-01-14,Low
40,TXN_3800253,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-15,Low
41,TXN_8859144,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-15,Low
42,TXN_8379868,Cake,3,3.0,9.0,Cash,In-Store,2023-01-16,High
43,TXN_9350833,Cake,1,0.0,3.0,Cash,Takeaway,2023-01-17,Low
44,TXN_5161371,Cake,2,3.0,6.0,Credit Card,In-Store,2023-01-17,Low
45,TXN_7343905,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-01-17,Low
46,TXN_7354480,Cake,2,3.0,6.0,Cash,Unknown,2023-01-17,Low
47,TXN_9363990,Cake,3,3.0,0.0,Credit Card,Unknown,2023-01-17,Low
48,TXN_3669068,Cake,5,3.0,15.0,Cash,Takeaway,2023-01-17,High
49,TXN_3424331,Cake,4,3.0,12.0,Unknown,Unknown,2023-01-18,High
50,TXN_3574059,Cake,1,3.0,3.0,Unknown,Unknown,2023-01-18,Low
51,TXN_5594695,Cake,3,3.0,9.0,Credit Card,In-Store,2023-01-18,High
52,TXN_7063005,Cake,1,3.0,3.0,Unknown,Unknown,2023-01-18,Low
53,TXN_2996519,Cake,5,3.0,15.0,Cash,Unknown,2023-01-19,High
54,TXN_7550103,Cake,5,3.0,15.0,Unknown,Takeaway,2023-01-19,High
55,TXN_8859035,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-01-19,High
56,TXN_2727347,Cake,5,3.0,15.0,Cash,Takeaway,2023-01-20,High
57,TXN_6962671,Cake,2,3.0,6.0,Unknown,Unknown,2023-01-20,Low
58,TXN_1815061,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-01-20,High
59,TXN_7049861,Cake,5,3.0,15.0,Cash,In-Store,2023-01-20,High
60,TXN_9668108,Cake,1,3.0,3.0,Cash,In-Store,2023-01-20,Low
61,TXN_8993132,Cake,3,3.0,9.0,Unknown,In-Store,2023-01-21,High
62,TXN_5248011,Cake,2,3.0,6.0,Unknown,In-Store,2023-01-21,Low
63,TXN_2227781,Cake,1,3.0,3.0,Cash,Takeaway,2023-01-21,Low
64,TXN_8659963,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-21,High
65,TXN_6383336,Cake,2,3.0,6.0,Unknown,Takeaway,2023-01-21,Low
66,TXN_3121360,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-01-21,High
67,TXN_9157460,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-01-23,High
68,TXN_5341644,Cake,4,3.0,12.0,Cash,Unknown,2023-01-24,High
69,TXN_5590805,Cake,1,3.0,3.0,Unknown,Takeaway,2023-01-25,Low
70,TXN_5101593,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-01-25,High
71,TXN_4183749,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-25,High
72,TXN_4276442,Cake,4,3.0,12.0,Credit Card,In-Store,2023-01-25,High
73,TXN_7832527,Cake,3,3.0,9.0,Cash,In-Store,2023-01-26,High
74,TXN_9612533,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-01-26,Low
75,TXN_6899834,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-01-27,High
76,TXN_6505914,Cake,3,3.0,9.0,Unknown,Unknown,2023-01-27,High
77,TXN_2622670,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-01-28,High
78,TXN_6188931,Cake,5,3.0,15.0,Digital Wallet,In-Store,2023-01-28,High
79,TXN_7603948,Cake,3,3.0,9.0,Credit Card,Unknown,2023-01-28,High
80,TXN_8952145,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-01-28,High
81,TXN_5993677,Cake,4,3.0,12.0,Unknown,Takeaway,2023-01-28,High
82,TXN_3639760,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-01-29,High
83,TXN_3451212,Cake,3,3.0,9.0,Unknown,Unknown,2023-01-29,High
84,TXN_9119194,Cake,0,3.0,9.0,Cash,Takeaway,2023-01-29,High
85,TXN_9921277,Cake,0,3.0,3.0,Unknown,Takeaway,2023-01-29,Low
86,TXN_7806146,Cake,3,0.0,9.0,Digital Wallet,In-Store,2023-01-30,High
87,TXN_7125945,Cake,3,3.0,9.0,Credit Card,In-Store,2023-01-30,High
88,TXN_9134335,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-01-30,High
89,TXN_1534223,Cake,3,3.0,9.0,Credit Card,Unknown,2023-01-30,High
90,TXN_3305132,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-30,High
91,TXN_3910293,Cake,4,3.0,12.0,Cash,In-Store,2023-01-30,High
92,TXN_4726376,Cake,2,3.0,6.0,Credit Card,In-Store,2023-01-31,Low
93,TXN_4187420,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-01-31,High
94,TXN_7844770,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-01-31,Low
95,TXN_8465274,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-02-01,High
96,TXN_6867132,Cake,2,3.0,6.0,Cash,In-Store,2023-02-01,Low
97,TXN_6957157,Cake,1,3.0,3.0,Unknown,Unknown,2023-02-01,Low
98,TXN_2862856,Cake,5,3.0,15.0,Unknown,Takeaway,2023-02-01,High
99,TXN_3660999,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-02-02,High
100,TXN_7554731,Cake,1,3.0,3.0,Credit Card,In-Store,2023-02-02,Low
101,TXN_9991225,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-02-03,High
102,TXN_8167808,Cake,3,3.0,9.0,Cash,In-Store,2023-02-03,High
103,TXN_4331281,Cake,0,3.0,9.0,Digital Wallet,Takeaway,2023-02-03,High
104,TXN_4801327,Cake,5,3.0,15.0,Cash,In-Store,2023-02-03,High
105,TXN_3432879,Cake,5,3.0,15.0,Credit Card,Unknown,2023-02-05,High
106,TXN_6519486,Cake,5,3.0,15.0,Unknown,Unknown,2023-02-05,High
107,TXN_6919325,Cake,3,3.0,9.0,Cash,Unknown,2023-02-05,High
108,TXN_6602557,Cake,4,3.0,12.0,Cash,Takeaway,2023-02-06,High
109,TXN_9675838,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-02-06,Low
110,TXN_2875074,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-02-06,High
111,TXN_7644000,Cake,2,3.0,6.0,Unknown,Takeaway,2023-02-07,Low
112,TXN_4962147,Cake,2,3.0,6.0,Unknown,Unknown,2023-02-07,Low
113,TXN_4387523,Cake,3,3.0,9.0,Unknown,Unknown,2023-02-07,High
114,TXN_4486700,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-08,Low
115,TXN_8245906,Cake,1,0.0,3.0,Digital Wallet,Unknown,2023-02-08,Low
116,TXN_1011236,Cake,1,3.0,3.0,Cash,In-Store,2023-02-08,Low
117,TXN_1435086,Cake,5,0.0,15.0,Unknown,Unknown,2023-02-09,High
118,TXN_2168513,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-02-09,Low
119,TXN_2638760,Cake,5,3.0,15.0,Cash,Unknown,2023-02-09,High
120,TXN_1617476,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-02-10,Low
121,TXN_5109348,Cake,4,3.0,12.0,Digital Wallet,In-Store,2023-02-10,High
122,TXN_1325631,Cake,4,0.0,12.0,Credit Card,In-Store,2023-02-11,High
123,TXN_7411993,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-02-11,Low
124,TXN_4811887,Cake,2,3.0,6.0,Cash,In-Store,2023-02-11,Low
125,TXN_4858908,Cake,2,3.0,6.0,Cash,In-Store,2023-02-11,Low
126,TXN_1313643,Cake,4,3.0,12.0,Unknown,Unknown,2023-02-11,High
127,TXN_7226406,Cake,1,3.0,3.0,Credit Card,Unknown,2023-02-11,Low
128,TXN_2154477,Cake,4,3.0,12.0,Unknown,Unknown,2023-02-11,High
129,TXN_7321946,Cake,3,3.0,9.0,Cash,Takeaway,2023-02-12,High
130,TXN_8156455,Cake,2,3.0,6.0,Cash,Unknown,2023-02-12,Low
131,TXN_9365766,Cake,4,3.0,12.0,Digital Wallet,In-Store,2023-02-13,High
132,TXN_3493771,Cake,2,3.0,6.0,Unknown,Unknown,2023-02-13,Low
133,TXN_6841805,Cake,2,3.0,6.0,Unknown,Unknown,2023-02-14,Low
134,TXN_8545707,Cake,5,3.0,15.0,Unknown,Takeaway,2023-02-14,High
135,TXN_9684465,Cake,5,3.0,15.0,Unknown,Takeaway,2023-02-15,High
136,TXN_4613510,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-02-16,High
137,TXN_1344947,Cake,3,3.0,9.0,Unknown,Takeaway,2023-02-16,High
138,TXN_5697414,Cake,5,3.0,15.0,Credit Card,In-Store,2023-02-16,High
139,TXN_9266499,Cake,1,3.0,0.0,Digital Wallet,Unknown,2023-02-16,Low
140,TXN_7341998,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-02-18,High
141,TXN_3200434,Cake,4,3.0,12.0,Unknown,Unknown,2023-02-18,High
142,TXN_7084298,Cake,3,3.0,9.0,Unknown,Takeaway,2023-02-18,High
143,TXN_4889269,Cake,2,3.0,0.0,Cash,Unknown,2023-02-19,Low
144,TXN_1610204,Cake,1,3.0,3.0,Unknown,Takeaway,2023-02-19,Low
145,TXN_6035512,Cake,5,3.0,15.0,Cash,Takeaway,2023-02-19,High
146,TXN_1851725,Cake,5,3.0,15.0,Cash,Takeaway,2023-02-19,High
147,TXN_9786525,Cake,5,3.0,15.0,Unknown,Takeaway,2023-02-19,High
148,TXN_6754546,Cake,3,3.0,9.0,Unknown,Unknown,2023-02-19,High
149,TXN_6377838,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-19,Low
150,TXN_5335079,Cake,1,3.0,3.0,Cash,In-Store,2023-02-20,Low
151,TXN_3357336,Cake,4,3.0,12.0,Unknown,In-Store,2023-02-20,High
152,TXN_2940895,Cake,4,3.0,12.0,Unknown,Unknown,2023-02-20,High
153,TXN_9421618,Cake,3,3.0,9.0,Cash,Unknown,2023-02-21,High
154,TXN_4503560,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-02-21,High
155,TXN_5115009,Cake,4,3.0,12.0,Unknown,Takeaway,2023-02-21,High
156,TXN_9456357,Cake,3,3.0,9.0,Credit Card,Unknown,2023-02-21,High
157,TXN_7775760,Cake,4,3.0,0.0,Unknown,Unknown,2023-02-21,Low
158,TXN_3403409,Cake,2,3.0,6.0,Unknown,Unknown,2023-02-22,Low
159,TXN_9115899,Cake,2,0.0,6.0,Credit Card,In-Store,2023-02-23,Low
160,TXN_2971555,Cake,1,3.0,3.0,Cash,Unknown,2023-02-24,Low
161,TXN_6411716,Cake,4,3.0,12.0,Credit Card,In-Store,2023-02-25,High
162,TXN_2804828,Cake,3,3.0,9.0,Cash,Unknown,2023-02-25,High
163,TXN_8278833,Cake,3,3.0,9.0,Unknown,Unknown,2023-02-26,High
164,TXN_3528653,Cake,1,3.0,3.0,Unknown,Unknown,2023-02-26,Low
165,TXN_9271457,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-02-27,High
166,TXN_1132566,Cake,3,3.0,9.0,Cash,Unknown,2023-02-27,High
167,TXN_5549557,Cake,2,3.0,6.0,Cash,In-Store,2023-02-27,Low
168,TXN_5929633,Cake,3,3.0,9.0,Unknown,In-Store,2023-02-27,High
169,TXN_2023802,Cake,2,3.0,6.0,Cash,In-Store,2023-02-28,Low
170,TXN_6113876,Cake,3,3.0,9.0,Cash,In-Store,2023-03-01,High
171,TXN_3103972,Cake,1,3.0,3.0,Unknown,Unknown,2023-03-01,Low
172,TXN_8571235,Cake,1,3.0,3.0,Cash,Takeaway,2023-03-01,Low
173,TXN_1730385,Cake,2,3.0,6.0,Credit Card,Unknown,2023-03-01,Low
174,TXN_5946554,Cake,2,3.0,0.0,Unknown,Unknown,2023-03-01,Low
175,TXN_1824506,Cake,1,3.0,3.0,Cash,In-Store,2023-03-02,Low
176,TXN_3818464,Cake,2,3.0,6.0,Cash,In-Store,2023-03-02,Low
177,TXN_4353750,Cake,2,3.0,6.0,Credit Card,Unknown,2023-03-02,Low
178,TXN_8750849,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-03-03,Low
179,TXN_3413185,Cake,0,3.0,12.0,Credit Card,In-Store,2023-03-03,High
180,TXN_7976129,Cake,3,3.0,9.0,Unknown,In-Store,2023-03-03,High
181,TXN_5268203,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-03-04,Low
182,TXN_2930752,Cake,2,3.0,6.0,Credit Card,Unknown,2023-03-04,Low
183,TXN_9579740,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-03-05,High
184,TXN_6621007,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-03-05,Low
185,TXN_8526084,Cake,5,3.0,15.0,Unknown,Takeaway,2023-03-05,High
186,TXN_3601338,Cake,3,3.0,9.0,Credit Card,Unknown,2023-03-06,High
187,TXN_9300970,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-03-06,Low
188,TXN_2701016,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-03-06,High
189,TXN_7662502,Cake,1,3.0,3.0,Unknown,In-Store,2023-03-06,Low
190,TXN_4258949,Cake,2,3.0,6.0,Unknown,Unknown,2023-03-07,Low
191,TXN_4667663,Cake,5,3.0,15.0,Credit Card,Unknown,2023-03-07,High
192,TXN_9216314,Cake,1,3.0,3.0,Credit Card,Unknown,2023-03-07,Low
193,TXN_8742742,Cake,4,3.0,12.0,Unknown,Unknown,2023-03-07,High
194,TXN_1419669,Cake,5,3.0,15.0,Cash,Takeaway,2023-03-07,High
195,TXN_4310310,Cake,3,3.0,9.0,Cash,Takeaway,2023-03-08,High
196,TXN_5697778,Cake,3,3.0,9.0,Cash,Unknown,2023-03-08,High
197,TXN_8167530,Cake,3,3.0,9.0,Cash,In-Store,2023-03-08,High
198,TXN_9238689,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-03-09,Low
199,TXN_2964794,Cake,2,3.0,6.0,Unknown,Takeaway,2023-03-09,Low
200,TXN_5270067,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-03-09,High
201,TXN_2818204,Cake,1,3.0,3.0,Digital Wallet,Unknown,2023-03-09,Low
202,TXN_4995910,Cake,5,3.0,0.0,Unknown,Unknown,2023-03-10,Low
203,TXN_9577339,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-03-10,Low
204,TXN_2865104,Cake,5,3.0,15.0,Unknown,In-Store,2023-03-12,High
205,TXN_6568978,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-03-12,High
206,TXN_5589433,Cake,2,3.0,6.0,Cash,In-Store,2023-03-13,Low
207,TXN_3033987,Cake,4,3.0,12.0,Cash,Unknown,2023-03-13,High
208,TXN_5276301,Cake,3,3.0,9.0,Cash,Unknown,2023-03-13,High
209,TXN_6841304,Cake,1,3.0,3.0,Unknown,Unknown,2023-03-13,Low
210,TXN_5747859,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-03-13,Low
211,TXN_7970325,Cake,2,3.0,6.0,Unknown,Takeaway,2023-03-13,Low
212,TXN_8155535,Cake,1,3.0,3.0,Unknown,Takeaway,2023-03-13,Low
213,TXN_8970187,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-03-13,Low
214,TXN_2177436,Cake,0,3.0,3.0,Unknown,Takeaway,2023-03-13,Low
215,TXN_9680054,Cake,3,3.0,9.0,Unknown,In-Store,2023-03-14,High
216,TXN_5470598,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-03-14,High
217,TXN_3105489,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-03-14,High
218,TXN_6687734,Cake,1,3.0,3.0,Unknown,In-Store,2023-03-14,Low
219,TXN_2085081,Cake,2,3.0,6.0,Cash,Unknown,2023-03-14,Low
220,TXN_9152264,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-03-15,Low
221,TXN_6499084,Cake,4,0.0,12.0,Credit Card,Takeaway,2023-03-15,High
222,TXN_7585348,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-03-16,High
223,TXN_1605048,Cake,4,3.0,12.0,Cash,Takeaway,2023-03-16,High
224,TXN_7820220,Cake,3,3.0,9.0,Credit Card,In-Store,2023-03-16,High
225,TXN_8546777,Cake,4,3.0,12.0,Unknown,In-Store,2023-03-16,High
226,TXN_1983842,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-03-16,High
227,TXN_7683607,Cake,1,3.0,3.0,Cash,Unknown,2023-03-17,Low
228,TXN_4878020,Cake,3,3.0,9.0,Unknown,In-Store,2023-03-17,High
229,TXN_9969706,Cake,5,3.0,15.0,Unknown,In-Store,2023-03-17,High
230,TXN_9505924,Cake,4,3.0,12.0,Unknown,Unknown,2023-03-17,High
231,TXN_9486849,Cake,0,3.0,3.0,Cash,Takeaway,2023-03-17,Low
232,TXN_1901729,Cake,2,3.0,6.0,Unknown,Takeaway,2023-03-18,Low
233,TXN_1354464,Cake,5,3.0,15.0,Digital Wallet,In-Store,2023-03-18,High
234,TXN_6610162,Cake,0,3.0,12.0,Digital Wallet,Unknown,2023-03-18,High
235,TXN_7086603,Cake,4,3.0,0.0,Credit Card,Unknown,2023-03-18,Low
236,TXN_4858666,Cake,3,3.0,9.0,Credit Card,Unknown,2023-03-18,High
237,TXN_6206171,Cake,1,3.0,3.0,Digital Wallet,Unknown,2023-03-19,Low
238,TXN_9425645,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-03-19,High
239,TXN_2250785,Cake,1,3.0,3.0,Cash,Unknown,2023-03-19,Low
240,TXN_5767429,Cake,2,3.0,6.0,Unknown,Unknown,2023-03-19,Low
241,TXN_6667083,Cake,1,3.0,3.0,Cash,Unknown,2023-03-19,Low
242,TXN_6696619,Cake,3,3.0,9.0,Unknown,Takeaway,2023-03-19,High
243,TXN_8829698,Cake,2,3.0,0.0,Cash,Unknown,2023-03-19,Low
244,TXN_5429861,Cake,1,3.0,3.0,Digital Wallet,Unknown,2023-03-20,Low
245,TXN_2301505,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-03-21,High
246,TXN_9480851,Cake,3,3.0,0.0,Unknown,In-Store,2023-03-21,Low
247,TXN_2470530,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-03-21,Low
248,TXN_9138791,Cake,1,3.0,0.0,Digital Wallet,In-Store,2023-03-22,Low
249,TXN_8765822,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-03-22,Low
250,TXN_5072031,Cake,2,3.0,6.0,Cash,Takeaway,2023-03-23,Low
251,TXN_9564123,Cake,4,3.0,12.0,Credit Card,Unknown,2023-03-23,High
252,TXN_1602799,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-03-23,High
253,TXN_1681216,Cake,3,3.0,9.0,Unknown,Unknown,2023-03-23,High
254,TXN_3026930,Cake,2,3.0,6.0,Cash,In-Store,2023-03-23,Low
255,TXN_5230719,Cake,5,3.0,15.0,Credit Card,Unknown,2023-03-23,High
256,TXN_9196694,Cake,4,3.0,12.0,Unknown,In-Store,2023-03-23,High
257,TXN_5709834,Cake,4,3.0,12.0,Digital Wallet,Unknown,2023-03-24,High
258,TXN_2755642,Cake,0,3.0,9.0,Digital Wallet,In-Store,2023-03-24,High
259,TXN_8876618,Cake,5,3.0,15.0,Cash,Unknown,2023-03-25,High
260,TXN_3089814,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-03-25,High
261,TXN_7210366,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-03-25,Low
262,TXN_3919225,Cake,2,3.0,6.0,Cash,In-Store,2023-03-26,Low
263,TXN_5731238,Cake,2,3.0,0.0,Credit Card,Unknown,2023-03-27,Low
264,TXN_7753587,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-03-28,Low
265,TXN_8267031,Cake,0,3.0,6.0,Unknown,Takeaway,2023-03-28,Low
266,TXN_4672332,Cake,4,3.0,0.0,Cash,In-Store,2023-03-29,Low
267,TXN_9171458,Cake,2,3.0,6.0,Unknown,Unknown,2023-03-29,Low
268,TXN_6376329,Cake,1,3.0,3.0,Unknown,Takeaway,2023-03-30,Low
269,TXN_9208629,Cake,1,3.0,3.0,Unknown,Takeaway,2023-03-30,Low
270,TXN_7538221,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-03-31,High
271,TXN_7964661,Cake,3,3.0,9.0,Cash,Unknown,2023-04-01,High
272,TXN_6513163,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-04-01,Low
273,TXN_9773646,Cake,4,3.0,0.0,Credit Card,Takeaway,2023-04-01,Low
274,TXN_3616839,Cake,4,3.0,12.0,Digital Wallet,Unknown,2023-04-01,High
275,TXN_3658211,Cake,0,3.0,12.0,Cash,Takeaway,2023-04-02,High
276,TXN_9810604,Cake,2,3.0,6.0,Unknown,Takeaway,2023-04-02,Low
277,TXN_9011816,Cake,1,3.0,3.0,Unknown,Takeaway,2023-04-02,Low
278,TXN_6182856,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-04-02,High
279,TXN_8099424,Cake,4,3.0,12.0,Unknown,Takeaway,2023-04-02,High
280,TXN_4607296,Cake,5,3.0,15.0,Unknown,In-Store,2023-04-02,High
281,TXN_3392848,Cake,2,3.0,6.0,Cash,In-Store,2023-04-03,Low
282,TXN_2955691,Cake,1,3.0,3.0,Unknown,Takeaway,2023-04-04,Low
283,TXN_3440463,Cake,1,3.0,0.0,Credit Card,Takeaway,2023-04-04,Low
284,TXN_8295765,Cake,4,3.0,12.0,Unknown,Takeaway,2023-04-05,High
285,TXN_1266598,Cake,4,3.0,12.0,Digital Wallet,Unknown,2023-04-05,High
286,TXN_9676096,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-04-05,High
287,TXN_1556652,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-04-06,High
288,TXN_2365394,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-04-06,Low
289,TXN_2167159,Cake,0,3.0,6.0,Cash,Unknown,2023-04-06,Low
290,TXN_4256155,Cake,5,3.0,15.0,Unknown,Takeaway,2023-04-06,High
291,TXN_5373154,Cake,3,3.0,9.0,Digital Wallet,Unknown,2023-04-06,High
292,TXN_8540794,Cake,4,3.0,12.0,Cash,Unknown,2023-04-06,High
293,TXN_7248722,Cake,3,3.0,9.0,Cash,Takeaway,2023-04-06,High
294,TXN_5269634,Cake,5,3.0,15.0,Digital Wallet,In-Store,2023-04-07,High
295,TXN_1399696,Cake,5,3.0,15.0,Cash,In-Store,2023-04-08,High
296,TXN_1080377,Cake,2,3.0,6.0,Unknown,Unknown,2023-04-08,Low
297,TXN_8049058,Cake,2,3.0,6.0,Cash,Unknown,2023-04-08,Low
298,TXN_9478033,Cake,2,3.0,6.0,Unknown,In-Store,2023-04-08,Low
299,TXN_3730415,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-04-09,High
300,TXN_8999576,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-04-09,High
301,TXN_4552615,Cake,2,3.0,6.0,Cash,Takeaway,2023-04-09,Low
302,TXN_2682803,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-04-09,High
303,TXN_6205234,Cake,5,3.0,15.0,Digital Wallet,Unknown,2023-04-09,High
304,TXN_7063124,Cake,1,0.0,3.0,Unknown,Takeaway,2023-04-10,Low
305,TXN_3727374,Cake,2,3.0,6.0,Unknown,In-Store,2023-04-10,Low
306,TXN_3712466,Cake,5,3.0,0.0,Digital Wallet,Unknown,2023-04-10,Low
307,TXN_7169607,Cake,2,3.0,6.0,Credit Card,Unknown,2023-04-10,Low
308,TXN_2532519,Cake,2,3.0,6.0,Digital Wallet,Unknown,2023-04-10,Low
309,TXN_5301689,Cake,5,3.0,15.0,Unknown,In-Store,2023-04-11,High
310,TXN_9774691,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-04-11,High
311,TXN_2611683,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-04-11,High
